total_completed_flows,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,mean_throughput_mbps,total_throughput_mbps,packet_loss_rate,mean_jain_fairness,mean_peak_utilization,max_peak_utilization,mean_path_stretch,max_path_stretch,route_churn_rate,recovery_time_ticks,total_queries,fallback_count,fallback_ratio,mean_compute_latency_us,p95_compute_latency_us,mean_env_overhead_us,mean_path_solve_us,eval_seed,traffic_model,failure_model,algorithm
451,4.1906873614190685,3.5,6.5,7.0,7.0,72.33544959999999,1808.3862399999998,0.0,0.13465446487357702,0.8607919727092415,1.0,1.0291201982651799,3.0,0.026022304832713755,,500,0,0.0,3657.4116000000004,4128.929999999999,0.0,3657.4116000000004,42,hotspot,nominal,ai_xgboost
453,4.129139072847682,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13258640156006496,0.8607919727092415,1.0,1.0,1.0,0.0,,500,404,0.808,4370.8862,6423.074999999998,0.0,4370.8862,42,hotspot,nominal,rl_ppo
453,4.1512141280353205,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13336129795856055,0.8607919727092415,1.0,1.00641627543036,1.6666666666666667,0.006572769953051643,1.0,503,0,0.0,140.35984095427435,344.6199999999999,0.0,140.35984095427435,42,hotspot,single_link_cut,static_dijkstra
451,4.270509977827051,4.0,6.5,7.0,7.5,72.33544959999999,1808.3862399999998,0.0,0.13666463736170864,0.8559655657307847,1.0,1.0596969696969698,3.0,0.09454545454545454,1.0,502,0,0.0,159.4231075697211,383.185,0.0,159.4231075697211,42,hotspot,single_link_cut,dynamic_dijkstra
453,4.1467991169977925,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13430987275705897,0.8387353673722383,1.0,1.0068987143305113,1.6666666666666667,0.005644402634054563,1.0,502,0,0.0,299.36434262948205,663.195,0.0,299.36434262948205,42,hotspot,single_link_cut,ecmp
451,4.23059866962306,3.5,6.5,7.0,7.5,72.33544959999999,1808.3862399999998,0.0,0.1358500773463337,0.8607919727092415,1.0,1.0421245421245422,3.0,0.03296703296703297,2.0,504,0,0.0,3712.912103174603,4159.5199999999995,0.0,3712.912103174603,42,hotspot,single_link_cut,ai_xgboost
453,4.1512141280353205,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13336129795856055,0.8607919727092415,1.0,1.00641627543036,1.6666666666666667,0.006572769953051643,1.0,503,408,0.8111332007952287,4301.717495029821,6001.329999999999,0.0,4301.717495029821,42,hotspot,single_link_cut,rl_ppo
226,4.407079646017699,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11672886025558991,0.6198751063486413,1.0,1.0,1.0,0.0,,250,0,0.0,76.9152,125.14499999999994,0.0,76.9152,43,uniform,nominal,static_dijkstra
225,4.466666666666667,5.0,7.0,7.0,7.0,36.07039424,901.7598559999999,0.004555935098206661,0.11740354518117907,0.6427865503537556,1.0,1.0247014115092292,3.0,0.03257328990228013,,250,0,0.0,83.168,131.64999999999998,0.0,83.168,43,uniform,nominal,dynamic_dijkstra
226,4.407079646017699,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11646601394081026,0.6198751063486413,1.0,1.0,1.0,0.0,,250,0,0.0,184.4648,378.075,0.0,184.4648,43,uniform,nominal,ecmp
226,4.469026548672566,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11556234053550417,0.6434994707176219,1.0,1.0205962059620597,3.0,0.0032520325203252032,,250,0,0.0,3597.52,4110.1,0.0,3597.52,43,uniform,nominal,ai_xgboost
226,4.407079646017699,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11672886025558991,0.6198751063486413,1.0,1.0,1.0,0.0,,250,229,0.916,4861.4767999999995,7185.724999999992,0.0,4861.4767999999995,43,uniform,nominal,rl_ppo
226,4.424778761061947,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11626591369979486,0.6434994707176219,1.0,1.009274413529733,2.0,0.0032733224222585926,0.0,250,0,0.0,149.8748,372.6699999999999,0.0,149.8748,43,uniform,single_link_cut,static_dijkstra
226,4.451327433628318,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11598277757731014,0.6742396917007015,1.0,1.0219512195121951,2.3333333333333335,0.032520325203252036,0.0,250,0,0.0,156.738,370.53,0.0,156.738,43,uniform,single_link_cut,dynamic_dijkstra
225,4.417777777777777,5.0,7.0,7.0,7.0,36.338872959999996,908.471824,0.0003393213572854292,0.11572685621307324,0.6434994707176219,1.0,1.0092896174863388,2.0,0.003278688524590164,0.0,250,0,0.0,365.3608,818.5049999999999,0.0,365.3608,43,uniform,single_link_cut,ecmp
225,4.437777777777778,5.0,7.0,7.0,7.0,36.115544639999996,902.888616,0.003868621434253893,0.11342189281337518,0.6747616166797751,1.0,1.0179738562091503,2.3333333333333335,0.004901960784313725,0.0,250,0,0.0,3660.3012000000003,4191.4800000000005,0.0,3660.3012000000003,43,uniform,single_link_cut,ai_xgboost
226,4.424778761061947,5.0,7.0,7.0,7.0,36.36562463999999,909.1406159999999,0.0,0.11626591369979486,0.6434994707176219,1.0,1.009274413529733,2.0,0.0032733224222585926,0.0,250,230,0.92,4673.980799999999,6534.704999999999,0.0,4673.980799999999,43,uniform,single_link_cut,rl_ppo
463,3.958963282937365,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.005842703325983496,0.1463873979366223,0.6824511070837859,1.0,1.0,1.0,0.0,,500,0,0.0,71.21579999999999,112.705,0.0,71.21579999999999,43,hotspot,nominal,static_dijkstra
459,3.994553376906318,3.5,6.5,6.5,7.0,75.17671104000001,1879.4177760000002,0.002365823309829946,0.14640025861532574,0.6888950672248981,1.0,1.0271356783919598,2.0,0.07738693467336684,,500,0,0.0,82.222,135.60999999999999,0.0,82.222,43,hotspot,nominal,dynamic_dijkstra
463,3.958963282937365,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.005842703325983496,0.1466592376081978,0.6765865137451348,1.0,1.0,1.0,0.0,,500,0,0.0,146.53740000000002,368.21999999999997,0.0,146.53740000000002,43,hotspot,nominal,ecmp
459,3.974945533769063,3.5,6.5,6.5,7.0,75.19359552,1879.839888,0.0037734401245943464,0.14609894830977993,0.686070626535821,1.0,1.0128726287262872,2.0,0.012195121951219513,,500,0,0.0,3572.8098000000005,4060.62,0.0,3572.8098000000005,43,hotspot,nominal,ai_xgboost
463,3.958963282937365,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.005842703325983496,0.1463873979366223,0.6824511070837859,1.0,1.0,1.0,0.0,,500,389,0.778,4362.978,6411.4699999999975,0.0,4362.978,43,hotspot,nominal,rl_ppo
463,3.980561555075594,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.004296972210700954,0.14787664310705742,0.6831797598585863,1.0,1.0161943319838056,3.0,0.008097165991902834,0.0,500,0,0.0,131.56879999999998,325.44499999999994,0.0,131.56879999999998,43,hotspot,single_link_cut,static_dijkstra
